//CoDeSys Mapping Export V1.2;;;;;
//Mapped variable;//Parameter name @ counter in device;//Unit;//Description;//IEC address;//Device name
//Important: change only first, third or fourth column in Excel or add variable name before first ;;;;;
;;;Канал для того, чтобы в мастере срабатывал IoDrvWriteOutputs, без этого не сработает опрос по команде \ восстановлению связи;%QX0.0;MV210_102
Application.GVL_PLC.A01_MV210_102.Exclude;Исключить модуль из опроса;;FALSE - включен, TRUE - выключен;%QX4.0;MV210_102
Application.GVL_PLC.A01_MV210_102.Error;Флаг ошибки;;Признак ошибки опроса модуля;%IX0.0;MV210_102
Application.GVL_PLC.A01_MV210_102.WriteSettings;Записать настройки;;По переднему фронту;%QX4.1;MV210_102
Application.GVL_PLC.A01_MV210_102.ReadSettings;Прочитать настройки;;По переднему фронту;%QX4.2;MV210_102
Application.GVL_PLC.A01_MV210_102.OldSettings[1];Вход 1 (чтение);;См. структуру FAST_ANALOG_SENSOR_SETTINGS в библиотеке Mx210 Assistant;%ID1;MV210_102
;Тип датчика;;См. перечисление FAST_ANALOG_SENSORS в библиотеке Mx210 Assistant;%IB4;MV210_102
;Полоса фильтра;;Полоса пропускания для фильтра нижних частот;%IB5;MV210_102
;Сдвиг характеристики;;Величина смещения измеренного значения;%ID2;MV210_102
;Наклон характеристики;;Коэффициент масштабирования смещенного значения;%ID3;MV210_102
;Верхняя граница;ед. изм.;Для унифицированных сигналов тока или напряжения;%ID4;MV210_102
;Нижняя граница;ед. изм.;Для унифицированных сигналов тока или напряжения;%ID5;MV210_102
;Постоянная времени фильтра;с;;%IW12;MV210_102
Application.GVL_PLC.A01_MV210_102.OldSettings[2];Вход 2 (чтение);;См. структуру FAST_ANALOG_SENSOR_SETTINGS в библиотеке Mx210 Assistant;%ID7;MV210_102
;Тип датчика@1;;См. перечисление FAST_ANALOG_SENSORS в библиотеке Mx210 Assistant;%IB28;MV210_102
;Полоса фильтра@1;;Полоса пропускания для фильтра нижних частот;%IB29;MV210_102
;Сдвиг характеристики@1;;Величина смещения измеренного значения;%ID8;MV210_102
;Наклон характеристики@1;;Коэффициент масштабирования смещенного значения;%ID9;MV210_102
;Верхняя граница@1;ед. изм.;Для унифицированных сигналов тока или напряжения;%ID10;MV210_102
;Нижняя граница@1;ед. изм.;Для унифицированных сигналов тока или напряжения;%ID11;MV210_102
;Постоянная времени фильтра@1;с;;%IW24;MV210_102
Application.GVL_PLC.A01_MV210_102.OldSettings[3];Вход 3 (чтение);;См. структуру FAST_ANALOG_SENSOR_SETTINGS в библиотеке Mx210 Assistant;%ID13;MV210_102
;Тип датчика@2;;См. перечисление FAST_ANALOG_SENSORS в библиотеке Mx210 Assistant;%IB52;MV210_102
;Полоса фильтра@2;;Полоса пропускания для фильтра нижних частот;%IB53;MV210_102
