folder_title;parent_title;foldertype;parentqueueSize;parentdiscardOldest;parentsamplingInterval;title;devpropname;r;calc;w;calc_out;chan;dataType;accessLevel;objectId;did;prop;cslink;csdid;csprop;;ChosePLC
ALL;;;;;;;;;;;;;;;;;;;;;;"ns=4;s=|var|PLC210 OPC-UA.Application."
Boiler;ALL;;;;;;;;;;;;;;;;;;;;d1009;
;Boiler;;;;;eBlow;eBlow;1;;0;;"ns=4;s=|var|PLC210 OPC-UA.Application.GVL.eBlow";Float;Read Write;"ns=4;s=|var|PLC210 OPC-UA.Application.GVL";d1009;eBlow;;;;;
;Boiler;;;;;eVent;eVent;1;;0;;"ns=4;s=|var|PLC210 OPC-UA.Application.GVL.eVent";Float;Read Write;"ns=4;s=|var|PLC210 OPC-UA.Application.GVL";d1009;eVent;;;;;
;Boiler;;;;;eBoiler;eBoiler;1;;0;;"ns=4;s=|var|PLC210 OPC-UA.Application.GVL.eBoiler";Float;Read Write;"ns=4;s=|var|PLC210 OPC-UA.Application.GVL";d1009;eBoiler;;;;;
;Boiler;;;;;eVent;eVent;1;;0;;"ns=4;s=|var|PLC210 OPC-UA.Application.GVL.eVent";Float;Read Write;"ns=4;s=|var|PLC210 OPC-UA.Application.GVL";d1009;eVent;;;;;
;Boiler;;;;;iBlowRemainingTime;iBlowRemainingTime;1;;0;;"ns=4;s=|var|PLC210 OPC-UA.Application.GVL.iBlowRemainingTime";Int16;Read Write;"ns=4;s=|var|PLC210 OPC-UA.Application.GVL";d1009;iBlowRemainingTime;;;;;
;Boiler;;;;;iVentRemainingTime;iVentRemainingTime;1;;0;;"ns=4;s=|var|PLC210 OPC-UA.Application.GVL.iVentRemainingTime";Int16;Read Write;"ns=4;s=|var|PLC210 OPC-UA.Application.GVL";d1009;iVentRemainingTime;;;;;
;Boiler;;;;;wsCurrentBoilerProblem;wsCurrentBoilerProblem;1;;0;;"ns=4;s=|var|PLC210 OPC-UA.Application.GVL.wsCurrentBoilerProblem";String;Read Write;"ns=4;s=|var|PLC210 OPC-UA.Application.GVL";d1009;wsCurrentBoilerProblem;;;;;
;Boiler;;;;;wsCurrentBoilerProblem;wsCurrentBoilerProblem;1;;0;;"ns=4;s=|var|PLC210 OPC-UA.Application.GVL.wsCurrentBoilerProblem";String;Read Write;"ns=4;s=|var|PLC210 OPC-UA.Application.GVL";d1009;wsCurrentBoilerProblem;;;;;
;Boiler;;;;;bAnalysOk;bAnalysOk;1;;1;;"ns=4;s=|var|PLC210 OPC-UA.Application.GVL.bAnalysOk";Boolean;Read Write;"ns=4;s=|var|PLC210 OPC-UA.Application.GVL";d1009;bAnalysOk;;;;;
;Boiler;;;;;bProtFromLastBurn;bProtFromLastBurn;1;;0;;"ns=4;s=|var|PLC210 OPC-UA.Application.GVL.bProtFromLastBurn";Boolean;Read Write;"ns=4;s=|var|PLC210 OPC-UA.Application.GVL";d1009;bProtFromLastBurn;;;;;
;Boiler;;;;;fGKal;fGKal;1;;0;;"ns=4;s=|var|PLC210 OPC-UA.Application.GVL.fGKal";Float;Read Write;"ns=4;s=|var|PLC210 OPC-UA.Application.GVL";d1009;fGKal;;;;;
;Boiler;;;;;bSoundAlarm;bSoundAlarm;1;;0;;"ns=4;s=|var|PLC210 OPC-UA.Application.GVL.bSoundAlarm";Boolean;Read Write;"ns=4;s=|var|PLC210 OPC-UA.Application.GVL";d1009;bSoundAlarm;;;;;
;Boiler;;;;;wsVentilationProblem;wsVentilationProblem;1;;0;;"ns=4;s=|var|PLC210 OPC-UA.Application.GVL.wsVentilationProblem";String;Read Write;"ns=4;s=|var|PLC210 OPC-UA.Application.GVL";d1009;wsVentilationProblem;;;;;
stTimeProcIgn;ALL;;;;;;;;;;;;;;;;;;;;d1153;
;stTimeProcIgn;;;;;fCheckBurn;fCheckBurn;1;;1;;"ns=4;s=|var|PLC210 OPC-UA.Application.PersistentVars.stTimeProcIgn.fCheckBurn";Float;Read Write;"ns=4;s=|var|PLC210 OPC-UA.Application.PersistentVars.stTimeProcIgn";d1153;fCheckBurn;;;;;
;stTimeProcIgn;;;;;fPumpGas;fPumpGas;1;;1;;"ns=4;s=|var|PLC210 OPC-UA.Application.PersistentVars.stTimeProcIgn.fPumpGas";Float;Read Write;"ns=4;s=|var|PLC210 OPC-UA.Application.PersistentVars.stTimeProcIgn";d1153;fPumpGas;;;;;
;stTimeProcIgn;;;;;fSpark;fSpark;1;;1;;"ns=4;s=|var|PLC210 OPC-UA.Application.PersistentVars.stTimeProcIgn.fSpark";Float;Read Write;"ns=4;s=|var|PLC210 OPC-UA.Application.PersistentVars.stTimeProcIgn";d1153;fSpark;;;;;
;stTimeProcIgn;;;;;fIgnition;fIgnition;1;;1;;"ns=4;s=|var|PLC210 OPC-UA.Application.PersistentVars.stTimeProcIgn.fIgnition";Float;Read Write;"ns=4;s=|var|PLC210 OPC-UA.Application.PersistentVars.stTimeProcIgn";d1153;fIgnition;;;;;
;stTimeProcIgn;;;;;fPrepDampers;fPrepDampers;1;;1;;"ns=4;s=|var|PLC210 OPC-UA.Application.PersistentVars.stTimeProcIgn.fPrepDampers";Float;Read Write;"ns=4;s=|var|PLC210 OPC-UA.Application.PersistentVars.stTimeProcIgn";d1153;fPrepDampers;;;;;
;stTimeProcIgn;;;;;fStabFireBurn;fStabFireBurn;1;;1;;"ns=4;s=|var|PLC210 OPC-UA.Application.PersistentVars.stTimeProcIgn.fStabFireBurn";Float;Read Write;"ns=4;s=|var|PLC210 OPC-UA.Application.PersistentVars.stTimeProcIgn";d1153;fStabFireBurn;;;;;
;stTimeProcIgn;;;;;fSlowStop;fSlowStop;1;;1;;"ns=4;s=|var|PLC210 OPC-UA.Application.PersistentVars.stTimeProcIgn.fSlowStop";Float;Read Write;"ns=4;s=|var|PLC210 OPC-UA.Application.PersistentVars.stTimeProcIgn";d1153;fSlowStop;;;;;
;stTimeProcIgn;;;;;fPWMLowGas;fPWMLowGas;1;;1;;"ns=4;s=|var|PLC210 OPC-UA.Application.PersistentVars.stTimeProcIgn.fPWMLowGas";Float;Read Write;"ns=4;s=|var|PLC210 OPC-UA.Application.PersistentVars.stTimeProcIgn";d1153;fPWMLowGas;;;;;
;stTimeProcIgn;;;;;fPWMHighGas;fPWMHighGas;1;;1;;"ns=4;s=|var|PLC210 OPC-UA.Application.PersistentVars.stTimeProcIgn.fPWMHighGas";Float;Read Write;"ns=4;s=|var|PLC210 OPC-UA.Application.PersistentVars.stTimeProcIgn";d1153;fPWMHighGas;;;;;
;stTimeProcIgn;;;;;fPWMHighAir;fPWMHighAir;1;;1;;"ns=4;s=|var|PLC210 OPC-UA.Application.PersistentVars.stTimeProcIgn.fPWMHighAir";Float;Read Write;"ns=4;s=|var|PLC210 OPC-UA.Application.PersistentVars.stTimeProcIgn";d1153;fPWMHighAir;;;;;
;stTimeProcIgn;;;;;fFireBurnFirstDelay;fFireBurnFirstDelay;1;;1;;"ns=4;s=|var|PLC210 OPC-UA.Application.PersistentVars.stTimeProcIgn.fFireBurnFirstDelay";Float;Read Write;"ns=4;s=|var|PLC210 OPC-UA.Application.PersistentVars.stTimeProcIgn";d1153;fFireBurnFirstDelay;;;;;
;stTimeProcIgn;;;;;fStabFireIgn;fStabFireIgn;1;;1;;"ns=4;s=|var|PLC210 OPC-UA.Application.PersistentVars.stTimeProcIgn.fStabFireIgn";Float;Read Write;"ns=4;s=|var|PLC210 OPC-UA.Application.PersistentVars.stTimeProcIgn";d1153;fStabFireIgn;;;;;
;stTimeProcIgn;;;;;fPWMLowAir;fPWMLowAir;1;;1;;"ns=4;s=|var|PLC210 OPC-UA.Application.PersistentVars.stTimeProcIgn.fPWMLowAir";Float;Read Write;"ns=4;s=|var|PLC210 OPC-UA.Application.PersistentVars.stTimeProcIgn";d1153;fPWMLowAir;;;;;
;stTimeProcIgn;;;;;fBurnPGasMin;fBurnPGasMin;1;;1;;"ns=4;s=|var|PLC210 OPC-UA.Application.PersistentVars.stTimeProcIgn.fBurnPGasMin";Float;Read Write;"ns=4;s=|var|PLC210 OPC-UA.Application.PersistentVars.stTimeProcIgn";d1153;fBurnPGasMin;;;;;
;stTimeProcIgn;;;;;iMaxFailIgnCount;iMaxFailIgnCount;1;;1;;"ns=4;s=|var|PLC210 OPC-UA.Application.PersistentVars.stTimeProcIgn.iMaxFailIgnCount";Int16;Read Write;"ns=4;s=|var|PLC210 OPC-UA.Application.PersistentVars.stTimeProcIgn";d1153;iMaxFailIgnCount;;;;;
stTimeProcPress;ALL;;;;;;;;;;;;;;;;;;;;d1154;
;stTimeProcPress;;;;;fStabilP;fStabilP;1;;1;;"ns=4;s=|var|PLC210 OPC-UA.Application.PersistentVars.stTimeProcPress.fStabilP";Float;Read Write;"ns=4;s=|var|PLC210 OPC-UA.Application.PersistentVars.stTimeProcPress";d1154;fStabilP;;;;;
;stTimeProcPress;;;;;fFixatP;fFixatP;1;;1;;"ns=4;s=|var|PLC210 OPC-UA.Application.PersistentVars.stTimeProcPress.fFixatP";Float;Read Write;"ns=4;s=|var|PLC210 OPC-UA.Application.PersistentVars.stTimeProcPress";d1154;fFixatP;;;;;
;stTimeProcPress;;;;;fTest1;fTest1;1;;1;;"ns=4;s=|var|PLC210 OPC-UA.Application.PersistentVars.stTimeProcPress.fTest1";Float;Read Write;"ns=4;s=|var|PLC210 OPC-UA.Application.PersistentVars.stTimeProcPress";d1154;fTest1;;;;;
;stTimeProcPress;;;;;fPress;fPress;1;;1;;"ns=4;s=|var|PLC210 OPC-UA.Application.PersistentVars.stTimeProcPress.fPress";Float;Read Write;"ns=4;s=|var|PLC210 OPC-UA.Application.PersistentVars.stTimeProcPress";d1154;fPress;;;;;
;stTimeProcPress;;;;;fTest2;fTest2;1;;1;;"ns=4;s=|var|PLC210 OPC-UA.Application.PersistentVars.stTimeProcPress.fTest2";Float;Read Write;"ns=4;s=|var|PLC210 OPC-UA.Application.PersistentVars.stTimeProcPress";d1154;fTest2;;;;;
;stTimeProcPress;;;;;fOpenSafety;fOpenSafety;1;;1;;"ns=4;s=|var|PLC210 OPC-UA.Application.PersistentVars.stTimeProcPress.fOpenSafety";Float;Read Write;"ns=4;s=|var|PLC210 OPC-UA.Application.PersistentVars.stTimeProcPress";d1154;fOpenSafety;;;;;
;stTimeProcPress;;;;;fTest3;fTest3;1;;1;;"ns=4;s=|var|PLC210 OPC-UA.Application.PersistentVars.stTimeProcPress.fTest3";Float;Read Write;"ns=4;s=|var|PLC210 OPC-UA.Application.PersistentVars.stTimeProcPress";d1154;fTest3;;;;;
;stTimeProcPress;;;;;fPressPMin;fPressPMin;1;;1;;"ns=4;s=|var|PLC210 OPC-UA.Application.PersistentVars.stTimeProcPress.fPressPMin";Float;Read Write;"ns=4;s=|var|PLC210 OPC-UA.Application.PersistentVars.stTimeProcPress";d1154;fPressPMin;;;;;
;stTimeProcPress;;;;;fPressPDiffMax;fPressPDiffMax;1;;1;;"ns=4;s=|var|PLC210 OPC-UA.Application.PersistentVars.stTimeProcPress.fPressPDiffMax";Float;Read Write;"ns=4;s=|var|PLC210 OPC-UA.Application.PersistentVars.stTimeProcPress";d1154;fPressPDiffMax;;;;;
stTimeProcPrep;ALL;;;;;;;;;;;;;;;;;;;;d1155;
;stTimeProcPrep;;;;;fVentilation;fVentilation;1;;1;;"ns=4;s=|var|PLC210 OPC-UA.Application.PersistentVars.stTimeProcPrep.fVentilation";Float;Read Write;"ns=4;s=|var|PLC210 OPC-UA.Application.PersistentVars.stTimeProcPrep";d1155;fVentilation;;;;;
;stTimeProcPrep;;;;;fVentAfterAlarm;fVentAfterAlarm;1;;1;;"ns=4;s=|var|PLC210 OPC-UA.Application.PersistentVars.stTimeProcPrep.fVentAfterAlarm";Float;Read Write;"ns=4;s=|var|PLC210 OPC-UA.Application.PersistentVars.stTimeProcPrep";d1155;fVentAfterAlarm;;;;;
;stTimeProcPrep;;;;;fBlow;fBlow;1;;1;;"ns=4;s=|var|PLC210 OPC-UA.Application.PersistentVars.stTimeProcPrep.fBlow";Float;Read Write;"ns=4;s=|var|PLC210 OPC-UA.Application.PersistentVars.stTimeProcPrep";d1155;fBlow;;;;;
;stTimeProcPrep;;;;;fBoilerCheck;fBoilerCheck;1;;1;;"ns=4;s=|var|PLC210 OPC-UA.Application.PersistentVars.stTimeProcPrep.fBoilerCheck";Float;Read Write;"ns=4;s=|var|PLC210 OPC-UA.Application.PersistentVars.stTimeProcPrep";d1155;fBoilerCheck;;;;;
Air;ALL;;;;;;;;;;;;;;;;;;;;;
Damper1;Air;;;;;;;;;;;;;;;;;;;;d1039;
;Damper1;;;;;bH;bH;1;;0;;"ns=4;s=|var|PLC210 OPC-UA.Application.GVL.DataProg.Air.Damper1.bH";Boolean;Read Write;"ns=4;s=|var|PLC210 OPC-UA.Application.GVL.DataProg.Air.Damper1";d1039;bH;;;;;
;Damper1;;;;;bL;bL;1;;0;;"ns=4;s=|var|PLC210 OPC-UA.Application.GVL.DataProg.Air.Damper1.bL";Boolean;Read Write;"ns=4;s=|var|PLC210 OPC-UA.Application.GVL.DataProg.Air.Damper1";d1039;bL;;;;;
